Price,Close,High,Low,Open,Volume,Daily Return,50-day MA,200-day MA,Volatility
Ticker,VFV.TO,VFV.TO,VFV.TO,VFV.TO,VFV.TO,,,,
Date,,,,,,,,,
2013-01-02,21.328561782836914,21.378985070449577,21.30335174190704,21.336965664105694,24900,,,,
2013-01-03,21.446218490600586,21.49664018467733,21.38739291369826,21.38739291369826,27900,0.5516392008126481,,,
2013-01-04,21.496639251708984,21.496639251708984,21.479831486787287,21.496639251708984,5900,0.23510327067914893,,,
2013-01-07,21.46302604675293,21.496639974850403,21.412602750291608,21.496639974850403,16600,-0.15636493017568975,,,
2013-01-08,21.38739013671875,21.463023469451866,21.38739013671875,21.463023469451866,15500,-0.3524009609335743,,,
2013-01-09,21.479827880859375,21.521847286109608,21.47142399980933,21.48823176190942,24800,0.4322067515003747,,,
2013-01-10,21.58067512512207,21.605885168052858,21.52184955444812,21.605885168052858,20700,0.46949745045470337,,,
2013-01-11,21.597482681274414,21.597482681274414,21.50504158374638,21.572271035709523,18400,0.07788243905668679,,,
2013-01-14,21.547060012817383,21.614289466723342,21.547060012817383,21.614289466723342,17400,-0.23346548855320837,,,
2013-01-15,21.597482681274414,21.597482681274414,21.50504158374638,21.513445465601343,2900,0.23401182540465637,,,
2013-01-16,21.639495849609375,21.65630360971684,21.5890741721632,21.622688089501906,8300,0.1945280797534199,,,
2013-01-17,21.773958206176758,21.799169850369072,21.681517113681416,21.72353652066861,20100,0.6213747191795571,,,
2013-01-18,21.967248916625977,21.967248916625977,21.85800163314504,21.92523110056645,39500,0.887715079724849,,,
2013-01-21,22.160531997680664,22.1773381600726,22.14372423241201,22.14372423241201,6200,0.8798693081153219,,,
2013-01-22,22.042875289916992,22.059683052170893,21.975645843777812,22.009261368285618,20900,-0.5309290759625496,,,
2013-01-23,22.261371612548828,22.286583256181057,22.1017010752976,22.110104956508344,23400,0.9912333112540139,,,
2013-01-24,22.353816986083984,22.437854211416887,22.328605337621088,22.337009220442052,20900,0.41527258582325643,,,
2013-01-25,22.5386905670166,22.572306087811782,22.521882806619008,22.555498327414192,21300,0.8270336159936775,,,
2013-01-28,22.53029441833496,22.65634945882156,22.505084371963726,22.65634945882156,271700,-0.03725215826836381,,,
2013-01-29,22.5386905670166,22.555498327414192,22.46305724810369,22.479865008501285,26900,0.037266040672800926,,,
2013-01-30,22.429443359375,22.572306117187946,22.429443359375,22.572306117187946,18400,-0.48470964769122826,,,
2013-01-31,22.31180191040039,22.412646920984045,22.303399628822397,22.412646920984045,17100,-0.5244956242992926,,,
2013-02-01,22.51348876953125,22.538698816478593,22.437855422935538,22.46306546988288,26000,0.9039469781095821,,,
2013-02-04,22.269775390625,22.681555950785725,22.269775390625,22.681555950785725,44200,-1.0825216002776084,,,
2013-02-05,22.463064193725586,22.48827584211746,22.421046382615874,22.429450265413166,9800,0.8679423106438433,,,
2013-02-06,22.446260452270508,22.446260452270508,22.395838749323957,22.42945428653968,30100,-0.07480609639967106,,,
2013-02-07,22.463064193725586,22.52188977042988,22.311797509127825,22.52188977042988,34900,0.07486209781273345,,,
2013-02-08,22.689964294433594,22.715175942907486,22.622734834713306,22.622734834713306,14800,1.0101030685358836,,,
2013-02-11,22.731983184814453,22.832828180620584,22.731983184814453,22.832828180620584,26700,0.1851871154824547,,,
2013-02-12,22.731983184814453,22.765598717708773,22.715177021244124,22.757194834485194,25400,0.0,,,
2013-02-13,22.706769943237305,22.832824968101736,22.681558297113778,22.832824968101736,28100,-0.11091527462501194,,,0.5299418783838415
2013-02-14,22.7571964263916,22.765600310203048,22.681563074965524,22.68996695877697,12300,0.22207686641628754,,,0.5260233123308478
2013-02-15,22.832826614379883,22.925267720621346,22.77400103872685,22.891652190032914,35500,0.33233526033362715,,,0.5265507463330853
2013-02-19,23.08493423461914,23.12695364339941,23.051320310471475,23.068128073983583,33600,1.1041454678260676,,,0.5468249383999675
2013-02-20,22.97568702697754,23.21939318692126,22.97568702697754,23.21939318692126,12900,-0.47324028100443893,,,0.5517963632179871
2013-02-21,22.8580322265625,22.967279466374265,22.832820585278416,22.967279466374265,41500,-0.5120839271395505,,,0.5672036228941083
2013-02-22,23.101743698120117,23.143763109992474,23.04291812437549,23.143763109992474,11200,1.0661962024640426,,,0.5867755980590954
2013-02-25,22.841228485107422,23.36225634032072,22.841228485107422,23.36225634032072,70700,-1.12768636176106,,,0.6366415605910724
2013-02-26,22.942075729370117,22.950479612693552,22.841232335242598,22.90005791562979,19300,0.44151409950847764,,,0.6331224418817525
2013-02-27,23.168968200683594,23.21938988127353,22.97568375602523,23.000895397758363,63000,0.9889796982188948,,,0.64886636093533
2013-02-28,23.41267967224121,23.42948583320743,23.311834692060998,23.337046337825196,20200,1.0518874619130703,,,0.6656215558995323
2013-03-01,23.31184196472168,23.353861387437593,23.160575248698546,23.28663031109213,28800,-0.43069699381351745,,,0.6738624372783735
2013-03-04,23.421092987060547,23.421092987060547,23.278230142611584,23.33705573687694,34200,0.46865032160134934,,,0.6640286785338863
2013-03-05,23.64798927307129,23.72362263089418,23.580759799770615,23.59756756881505,23700,0.9687689901410446,,,0.6672839621329376
2013-03-06,23.765636444091797,23.824462018985624,23.715213148859917,23.765636444091797,41900,0.4974933372220214,,,0.6537111888079957
2013-03-07,23.765636444091797,23.807654253908332,23.740424796475857,23.807654253908332,15900,0.0,,,0.6400298761384734
2013-03-08,23.883283615112305,23.89168749625093,23.698403038691826,23.799246406602474,36700,0.4950305930046195,,,0.6410330965043736
2013-03-11,23.866477966308594,23.883285730074242,23.790844632239754,23.849670202542946,18000,-0.07036573812270186,,,0.6327510735827088
2013-03-12,23.81606101989746,23.89169436902564,23.77404320499376,23.89169436902564,29200,-0.2112458590760813,,,0.6357240115328313
