Ticker,Date,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN
AAPL,2024-03-20,177.830322265625,177.830322265625,174.26714497871419,174.89418909629194,53423100.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-21,170.5646209716797,176.65586961417029,170.03711298613993,176.2179350177799,106181300.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-22,171.4703369140625,172.23672240837217,169.26076900158964,170.95277649830084,71106600.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-25,170.0470733642578,171.13194711675717,168.65364374159117,169.76839047714014,54288300.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-26,168.91241455078125,170.61436949811346,168.78302065654685,169.20104494513856,57388400.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-27,172.49549865722656,172.78414425918754,169.31054062211945,169.609133760084,60273300.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-03-28,170.67410278320312,171.4205780589011,169.70866021166748,170.94283813483634,65672700.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-01,169.2309112548828,170.4451788535061,168.68349304450714,170.38546326457012,46240500.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-02,168.04649353027344,168.54414366405445,167.43935975957754,168.28537106183597,49329500.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-03,168.8527069091797,169.87786510696628,167.78774337767854,167.9967479570679,47691700.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-04,168.026611328125,171.11203328162168,168.026611328125,169.48968886138192,53704400.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-05,168.7830352783203,169.5892261323792,168.15599119757314,168.79298281447828,42055200.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-08,167.65835571289062,168.40483104125352,167.4493511257135,168.23563178927415,37425500.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-09,168.8726043701172,169.2806811483862,167.55881583801002,167.90716183961618,42451200.0,APPLE,,,,,,,,,,,,,,,
AAPL,2024-04-10,166.99148559570312,168.29532657810816,166.3246362072623,168.0066961691415,49709300.0,APPLE,,,,,,,,,,,,,,,
