Close,High,Low,Open,Volume,Daily Return,50-day MA,200-day MA,Volatility,daily_return
104.05561065673828,104.09504897070379,103.49362784638602,103.90771885988994,99700,0.5238617802677092,104.39496780395508,98.72604621887207,0.6901624514353562,0.005238617802677092
72.2602310180664,72.31702196545307,71.95737244130368,71.95737244130368,149400,1.7457597039527428,69.4450553894043,67.96868797302245,1.3845535213215003,0.017457597039527428
83.54752349853516,84.10952749848403,83.39512043796687,83.96664463291572,117700,-0.3974645366203289,82.62757308959961,77.18525512695312,0.8679175434342268,-0.003974645366203289
89.07073211669922,89.88477940002132,88.83814084114294,89.49713466780248,70700,-0.6807743828809998,90.10243453979493,93.36127254486084,1.1367060797759363,-0.006807743828809998
91.23854064941406,91.63730556536463,90.59663598651613,90.89813609937254,72600,1.3504932044811957,91.02009521484375,90.42023937225342,1.0831484785520729,0.013504932044811957
93.0301513671875,93.0301513671875,92.03413535540992,92.24896423736797,353200,0.03150172668839879,93.67600326538086,90.43381359100341,0.8920453072603877,0.0003150172668839879
95.43775939941406,95.612199135722,94.8659818328519,95.0598004759908,80900,0.46928756637731883,87.73952270507813,94.2581880569458,0.9379562842847861,0.004692875663773188
87.97563171386719,90.08828765750222,87.97563171386719,89.47775221915975,103400,-1.003270689404867,90.26989715576173,93.13515518188477,1.146120850451915,-0.01003270689404867
69.23210144042969,70.55519059984461,69.15703102873766,69.66374556899603,1119000,-0.2972933537608524,71.8350732421875,66.83483242034912,1.0297461245617656,-0.002972933537608524
72.0808334350586,72.25982943578745,71.17640875627643,71.17640875627643,160700,2.2450720629259013,66.52842361450195,67.36827318191528,1.0901322220888534,0.022450720629259013
110.53321075439452,110.84870975998531,110.31630377765906,110.57264907035459,145800,-0.035658650393222135,106.83299301147461,102.20397071838379,0.5086800161896252,-0.0003565865039324434
101.48443603515624,101.53358404007324,101.04213398663421,101.47460493438632,115900,0.38207281653297454,98.76196044921875,93.75549255371094,0.6869330752689717,0.0038207281653297454
81.12808990478516,82.20446820344156,81.05188471655117,82.20446820344156,106700,-0.8613547815077505,79.5852066040039,73.69172916412353,0.5848040945207522,-0.008613547815077505
104.30208587646484,104.67673854510855,103.720380196054,104.00630230715917,122900,0.19888672977108612,104.28021621704102,99.00580356597901,0.657173986472102,0.0019888672977108612
89.68125915527344,89.78786163146296,89.02226539051433,89.642493946322,94100,0.47773222804741167,90.0357598876953,93.41769981384277,1.1589996489615744,0.004777322280474117
109.68531036376952,109.76418699899563,109.10361210367945,109.2022041366671,139600,0.3699117154744025,105.24090454101562,101.38831398010254,0.5636434997231267,0.003699117154744025
89.40341186523438,90.45634961039615,88.58230496891075,90.1858704600795,234800,0.3578383627081516,94.55846969604492,96.7910754776001,1.3690907358269646,0.003578383627081516
93.89922332763672,93.92851681733595,93.28403024386168,93.4695656119872,121300,0.7966397513833989,92.2517953491211,89.86145584106445,0.8484538171006571,0.007966397513834211
81.49958801269531,81.69010099940833,81.44243775034509,81.4805403476877,50500,0.4225482135333136,79.8183723449707,73.89136699676514,0.5740796843219587,0.004225482135333136
69.28827667236328,69.3163236795504,69.04519072171999,69.04519072171999,38400,0.8436922453733064,66.27606018066406,64.02351842880249,0.37567140886051986,0.008436922453733064
96.3068389892578,96.30683898925781,95.72873931939222,95.92470847674453,108000,0.13244030786183636,95.41959869384766,92.25573650360107,0.6513752718275964,0.0013244030786183636
118.1740951538086,118.52032613741363,117.78829383675307,118.4609744108726,272700,-0.34204329206986017,113.65122100830078,105.82296390533448,0.5575755011244584,-0.0034204329206986017
101.05197143554688,101.82846352625457,100.87504909210799,101.82846352625457,133600,-1.0300283973646462,104.88449600219727,98.22773170471191,0.6965262853117733,-0.010300283973646462
75.27108001708984,75.66044215881834,75.10013859633769,75.40403365040491,33700,-0.2742830180249456,74.8095571899414,70.2163557434082,1.1167431737590978,-0.002742830180249456
86.67704772949219,86.97746893307902,85.64010215606625,86.95809002053223,185700,-1.0181140255995258,90.34917037963868,93.00858589172363,1.126106028705503,-0.010181140255995258
87.56859588623047,88.10160822189059,87.3069325964675,87.85933123180997,86000,-0.4626688319335548,90.31156875610351,93.07568454742432,1.1158824423308351,-0.004626688319335548
86.95806884765625,87.47169493274555,86.79331485943081,87.46200178197755,81100,-0.7411472721156054,86.53899383544922,94.48037090301514,1.1325466278500647,-0.007411472721156054
118.96548461914062,118.96548461914062,118.07517100046248,118.61925364167392,252700,0.8131426916690554,113.05090606689453,105.50728996276855,0.5841831741224142,0.008131426916690554
101.80768585205078,102.27107666783148,101.44288706637263,101.86683956569436,111600,0.44747747614153344,104.69609939575196,98.34777862548827,0.6837135698542092,0.004474774761415334
79.50659942626953,79.72502008934376,78.63290228311722,78.63290228311722,73700,1.4541968539245387,75.70266647338867,71.07662837982178,1.1040360295190246,0.014541968539245387
93.76727294921876,95.02190574632354,93.3490595434297,94.35082464048519,115400,-0.6184890437270107,90.6112190246582,90.48562915802002,1.0263649121845122,-0.0061848904372701075
103.79926300048828,103.85841670903757,103.20770334872816,103.26685705727745,261100,0.9880068930747887,103.63272628784179,99.63526718139649,0.8084358741331026,0.00988006893074811
99.92237854003906,100.01055904450962,99.84399088575978,99.9419717158798,94100,0.27532209086149617,96.44284378051758,92.77914543151856,0.7123933746914126,0.0027532209086147397
73.58607482910156,74.31799334325778,73.35148519461008,74.289843732576,300200,-1.4328860699625912,71.77748321533203,66.74154094696046,0.7123504014394046,-0.014328860699625912
